amyklobuchar,Democrat
BillCassidy,Republican
ChrisCoons,Democrat
ChrisVanHollen,Democrat
ChuckGrassley,Republican
GrahamBlog,Republican
InhofePress,Republican
JeffFlake,Republican
JerryMoran,Republican
JohnBoozman,Republican
JohnCornyn,Republican
KamalaHarris,Democrat
lisamurkowski,Republican
lutherstrange,Republican
MarkWarner,Democrat
MartinHeinrich,Democrat
maziehirono,Democrat
McCaskillOffice,Democrat
McConnellPress,Republican
MikeCrapo,Republican
PattyMurray,Democrat
RandPaul,Republican
RonWyden,Democrat
RoyBlunt,Republican
SenAlexander,Republican
SenAngusKing,Democrat
SenatorBaldwin,Democrat
SenatorBurr,Republican
SenatorCantwell,Democrat
SenatorCardin,Democrat
SenatorCarper,Democrat
SenatorCollins,Republican
SenatorDurbin,Democrat
SenatorEnzi,Republican
SenatorFischer,Republican
SenatorHassan,Democrat
SenatorHeitkamp,Democrat
SenatorIsakson,Republican
SenatorLankford,Republican
SenatorLeahy,Democrat
SenatorMenendez,Democrat
SenatorRisch,Republican
SenatorRounds,Republican
SenatorShaheen,Democrat
SenatorTester,Democrat
SenatorTimScott,Republican
SenatorTomUdall,Democrat
SenatorWicker,Republican
SenBennetCO,Democrat
SenBillNelson,Democrat
SenBlumenthal,Democrat
SenBobCasey,Democrat
SenBobCorker,Republican
SenBookerOffice,Democrat
SenBrianSchatz,Democrat
SenCapito,Republican
SenCortezMasto,Democrat
SenCoryGardner,Republican
SenDanSullivan,Republican
sendavidperdue,Republican
SenDeanHeller,Republican
SenDonnelly,Democrat
SenDuckworth,Democrat
SenFeinstein,Democrat
SenFranken,Democrat
SenGaryPeters,Democrat
SenGillibrand,Democrat
SenJackReed,Democrat
SenJeffMerkley,Democrat
Sen_JoeManchin,Democrat
SenJohnBarrasso,Republican
SenJohnHoeven,Republican
SenJohnKennedy,Republican
SenJohnMcCain,Republican
SenJohnThune,Republican
SenJoniErnst,Republican
SenKaineOffice,Democrat
SenMarkey,Democrat
SenMikeLee,Republican
SenMurphyOffice,Democrat
senorrinhatch,Republican
SenPatRoberts,Republican
senrobportman,Republican
SenRonJohnson,Republican
SenRubioPress,Republican
SenSanders,Democrat
SenSasse,Republican
SenSchumer,Democrat
SenShelby,Republican
SenSherrodBrown,Democrat
SenStabenow,Democrat
SenTedCruz,Republican
SenThadCochran,Republican
SenThomTillis,Republican
SenToddYoung,Republican
SenTomCotton,Republican
SenToomey,Republican
SenWarren,Democrat
SenWhitehouse,Democrat
SteveDaines,Republican
SenateGOP,Republican
SenateDems,Democrat
